task_id,task_description,timestamp,session_id,episode,state,selected_action,raw_confidence_score,normalized_confidence,confidence_category,q_values_json,normalized_q_scores_json,q_value_spread,action_rank,relative_advantage,uncertainty
TASK_20250930_164315_7055,open notepad,2025-09-30T16:43:15.660446,20250930_164306,0,intent_open_notepad,open_notepad,0.7899999999999999,0.7899999999999999,Medium-High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.366}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.316,1,0.0,0.842
TASK_20250930_164346_2224,mute audio,2025-09-30T16:43:46.229151,20250930_164306,0,intent_mute_audio,open_settings,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_settings"": 0.3165, ""open_notepad"": 0.1}","{""open_settings"": 1.0, ""open_notepad"": 0.0}",0.2165,1,0.0,0.89175
TASK_20250930_164412_2983,open settings,2025-09-30T16:44:12.795636,20250930_164306,0,intent_open_settings,show_running_processes,0.38,0.38,Low-Medium,"{""show_running_processes"": 0.05}","{""show_running_processes"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_164439_8071,take screenshots,2025-09-30T16:44:39.721841,20250930_164306,0,intent_take_screenshot,open_photo_viewer,0.85,0.85,High,"{""open_photo_viewer"": 0.5332650000000001, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.4332650000000001,1,0.0,0.7833675
TASK_20250930_165149_6502,open notepad,2025-09-30T16:51:49.984606,20250930_165141,0,intent_open_notepad,check_memory_usage,0.0,0.0,Low,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.4794}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.4294,0,-0.4794,0.7853
TASK_20250930_165209_7600,open notepad,2025-09-30T16:52:09.615573,20250930_165141,0,intent_open_notepad,show_running_processes,0.0,0.0,Low,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.53146, ""check_memory_usage"": 0.05}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0, ""check_memory_usage"": 0.0}",0.48146000000000005,0,-0.53146,0.75927
TASK_20250930_165228_6843,open notepad,2025-09-30T16:52:28.975490,20250930_165141,0,intent_open_notepad,open_notepad,0.8799999999999999,0.8799999999999999,High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.578314, ""check_memory_usage"": 0.05, ""show_running_processes"": 0.05}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0, ""check_memory_usage"": 0.0, ""show_running_processes"": 0.0}",0.528314,1,0.0,0.735843
TASK_20250930_165254_2450,take screenshots,2025-09-30T16:52:54.884023,20250930_165141,0,intent_take_screenshot,open_photo_viewer,0.8799999999999999,0.8799999999999999,High,"{""open_photo_viewer"": 0.6299385000000001, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.5299385000000001,1,0.0,0.73503075
TASK_20250930_165317_2435,mute audio,2025-09-30T16:53:17.414287,20250930_165141,0,intent_mute_audio,open_settings,0.82,0.82,High,"{""open_settings"": 0.33485, ""open_notepad"": 0.1, ""mute_audio"": 0.1}","{""open_settings"": 1.0, ""open_notepad"": 0.0, ""mute_audio"": 0.0}",0.23484999999999998,1,0.0,0.882575
TASK_20250930_165340_5953,mute audio,2025-09-30T16:53:40.060827,20250930_165141,0,intent_mute_audio,open_settings,0.85,0.85,High,"{""open_settings"": 0.351365, ""open_notepad"": 0.1, ""mute_audio"": 0.19}","{""open_settings"": 1.0, ""open_notepad"": 0.0, ""mute_audio"": 0.358045073896525}",0.25136499999999995,1,0.0,0.8743175000000001
TASK_20251001_111650_6757,open notepad,2025-10-01T11:16:50.854358,20250930_172722,0,intent_open_notepad,open_calendar,0.0,0.0,Low,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.4794}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.4294,0,-0.4794,0.7853
TASK_20251001_111705_4731,open notepad,2025-10-01T11:17:05.413830,20250930_172722,0,intent_open_notepad,delete_file,0.0,0.0,Low,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.53146, ""open_calendar"": 0.05}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0, ""open_calendar"": 0.0}",0.48146000000000005,0,-0.53146,0.75927
TASK_20251001_111728_6992,open notepad,2025-10-01T11:17:28.921886,20250930_172722,0,intent_open_notepad,open_notepad,0.8799999999999999,0.8799999999999999,High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.578314, ""open_calendar"": 0.05, ""delete_file"": 0.05}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0, ""open_calendar"": 0.0, ""delete_file"": 0.0}",0.528314,1,0.0,0.735843
TASK_20251001_111809_2893,open calendar,2025-10-01T11:18:09.749660,20250930_172722,0,intent_open_calendar,open_browser,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_111821_7276,open notepad,2025-10-01T11:18:21.969229,20250930_172722,0,intent_open_notepad,open_notepad,0.8799999999999999,0.8799999999999999,High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.578314, ""open_calendar"": 0.05, ""delete_file"": 0.05}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0, ""open_calendar"": 0.0, ""delete_file"": 0.0}",0.528314,1,0.0,0.735843
TASK_20251001_111947_5988,open calendar,2025-10-01T11:19:48.671285,20250930_172722,0,intent_open_calendar,minimize_all_windows,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_112133_4755,open calendar,2025-10-01T11:21:33.598005,20250930_172722,0,intent_open_calendar,open_calendar,0.73,0.73,Medium-High,"{""minimize_all_windows"": 0.05, ""open_calendar"": 0.1}","{""minimize_all_windows"": 0.0, ""open_calendar"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_112158_1360,take screenshot,2025-10-01T11:21:58.126962,20250930_172722,0,intent_take_screenshot,open_photo_viewer,0.8799999999999999,0.8799999999999999,High,"{""open_photo_viewer"": 0.6299385000000001, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.5299385000000001,1,0.0,0.73503075
TASK_20251001_112225_7436,take screenshot,2025-10-01T11:22:25.758329,20250930_172722,0,intent_take_screenshot,open_photo_viewer,0.9099999999999999,0.9099999999999999,High,"{""open_photo_viewer"": 0.6169446500000001, ""open_notepad"": 0.1, ""take_screenshot"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0, ""take_screenshot"": 0.0}",0.5169446500000001,1,0.0,0.7415276749999999
TASK_20251001_112245_6044,open photo viewer,2025-10-01T11:22:45.832228,20250930_172722,0,intent_open_photo_viewer,maximize_window,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_112318_7688,open_photo_viewer,2025-10-01T11:23:18.108738,20250930_172722,0,intent_open_photo_viewer,open_photo_viewer,0.73,0.73,Medium-High,"{""maximize_window"": 0.05, ""open_photo_viewer"": 0.1}","{""maximize_window"": 0.0, ""open_photo_viewer"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_112430_4130,open_notepad,2025-10-01T11:24:30.675210,20250930_172722,0,intent_open_notepad,open_notepad,0.9099999999999999,0.9099999999999999,High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.6704826, ""open_calendar"": 0.05, ""delete_file"": 0.05}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0, ""open_calendar"": 0.0, ""delete_file"": 0.0}",0.6204826,1,0.0,0.6897587000000001
TASK_20251001_112905_5085,open calendar,2025-10-01T11:29:06.494541,20251001_112851,0,intent_open_calendar,volume_down,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_112939_4761,open_calendar,2025-10-01T11:29:40.024961,20251001_112851,0,intent_open_calendar,open_browser,0.0,0.0,Low,"{""volume_down"": 0.05, ""open_calendar"": 0.1}","{""volume_down"": 0.0, ""open_calendar"": 1.0}",0.05,0,-0.1,0.975
TASK_20251001_113020_2099,open_calendar,2025-10-01T11:30:20.944368,20251001_112851,0,intent_open_calendar,open_calendar,0.76,0.76,Medium-High,"{""volume_down"": 0.05, ""open_calendar"": 0.19, ""open_browser"": 0.05}","{""volume_down"": 0.0, ""open_calendar"": 1.0, ""open_browser"": 0.0}",0.14,1,0.0,0.9299999999999999
TASK_20251001_113048_4795,open_browser,2025-10-01T11:30:48.201470,20251001_112851,0,intent_open_browser,clear_browser_data,0.41,0.41,Medium,"{""clear_browser_data"": 0.095}","{""clear_browser_data"": 0.095}",0.0,0,0.0,1.0
TASK_20251001_113115_8675,open_browser,2025-10-01T11:31:15.635752,20251001_112851,0,intent_open_browser,clear_browser_data,0.7899999999999999,0.7899999999999999,Medium-High,"{""clear_browser_data"": 0.1355, ""open_browser"": 0.1}","{""clear_browser_data"": 1.0, ""open_browser"": 0.0}",0.035500000000000004,1,0.0,0.98225
TASK_20251001_113140_7909,open_browserr,2025-10-01T11:31:41.942061,20251001_112851,0,intent_open_notepad,open_notepad,0.82,0.82,High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.4794}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.4294,1,0.0,0.7853
TASK_20251001_113212_1721,open_browser,2025-10-01T11:32:12.472935,20251001_112851,0,intent_open_browser,open_browser,0.76,0.76,Medium-High,"{""clear_browser_data"": 0.17195000000000002, ""open_browser"": 0.19}","{""clear_browser_data"": 0.0, ""open_browser"": 1.0}",0.018049999999999983,1,0.0,0.990975
TASK_20251001_114446_7585,open notepad,2025-10-01T11:44:46.651004,20251001_114428,0,intent_open_notepad,open_notepad,0.82,0.82,High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.4794}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.4294,1,0.0,0.7853
TASK_20251001_114506_6168,open browser,2025-10-01T11:45:06.762590,20251001_114428,0,intent_open_browser,clear_browser_data,0.41,0.41,Medium,"{""clear_browser_data"": 0.095}","{""clear_browser_data"": 0.095}",0.0,0,0.0,1.0
TASK_20251001_114532_4692,open browser,2025-10-01T11:45:32.888905,20251001_114428,0,intent_open_browser,open_pictures_folder,0.0,0.0,Low,"{""clear_browser_data"": 0.1355, ""open_browser"": 0.1}","{""clear_browser_data"": 1.0, ""open_browser"": 0.0}",0.035500000000000004,0,-0.1355,0.98225
TASK_20251001_114633_4579,open browser,2025-10-01T11:46:33.584468,20251001_114428,0,intent_open_browser,open_browser,0.76,0.76,Medium-High,"{""clear_browser_data"": 0.1355, ""open_browser"": 0.19, ""open_pictures_folder"": 0.05}","{""clear_browser_data"": 0.6107142857142857, ""open_browser"": 1.0, ""open_pictures_folder"": 0.0}",0.14,1,0.0,0.9299999999999999
TASK_20251001_114701_9155,open picture folder,2025-10-01T11:47:01.711545,20251001_114428,0,intent_open_documents_folder,open_photo_viewer,0.38,0.38,Low-Medium,"{""open_photo_viewer"": 0.15000000000000002}","{""open_photo_viewer"": 0.15000000000000002}",0.0,0,0.0,1.0
TASK_20251001_114722_7460,open photo folder,2025-10-01T11:47:22.929427,20251001_114428,0,intent_open_documents_folder,open_photo_viewer,0.38,0.38,Low-Medium,"{""open_photo_viewer"": 0.15000000000000002}","{""open_photo_viewer"": 0.15000000000000002}",0.0,0,0.0,1.0
TASK_20251001_114759_5313,open documents folder,2025-10-01T11:47:59.532994,20251001_114428,0,intent_open_documents_folder,open_photo_viewer,0.76,0.76,Medium-High,"{""open_photo_viewer"": 0.18500000000000003, ""open_documents_folder"": 0.1}","{""open_photo_viewer"": 1.0, ""open_documents_folder"": 0.0}",0.08500000000000002,1,0.0,0.9575
TASK_20251001_114832_5336,open documents folder,2025-10-01T11:48:32.240233,20251001_114428,0,intent_open_documents_folder,open_photo_viewer,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_photo_viewer"": 0.21650000000000003, ""open_documents_folder"": 0.19}","{""open_photo_viewer"": 1.0, ""open_documents_folder"": 0.0}",0.026500000000000024,1,0.0,0.98675
TASK_20251001_114909_1630,open photo viewer,2025-10-01T11:49:09.115385,20251001_114428,0,intent_open_photo_viewer,scan_for_malware,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_114948_4232,open photo viewer,2025-10-01T11:49:48.926821,20251001_114428,0,intent_open_photo_viewer,open_photo_viewer,0.73,0.73,Medium-High,"{""scan_for_malware"": 0.05, ""open_photo_viewer"": 0.1}","{""scan_for_malware"": 0.0, ""open_photo_viewer"": 1.0}",0.05,1,0.0,0.975
TASK_20251001_120402_9748,open notepad,2025-10-01T12:04:02.521241,20251001_120402,0,intent_open_notepad,volume_up,0.0,0.0,Low,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.4794}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.4294,0,-0.4794,0.7853
TASK_20251001_120402_4364,take screenshot,2025-10-01T12:04:02.664954,20251001_120402,0,intent_take_screenshot,open_photo_viewer,0.8799999999999999,0.8799999999999999,High,"{""open_photo_viewer"": 0.6299385000000001, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.5299385000000001,1,0.0,0.73503075
TASK_20251001_120402_7238,mute audio,2025-10-01T12:04:02.817429,20251001_120402,0,intent_mute_audio,open_settings,0.82,0.82,High,"{""open_settings"": 0.33485, ""open_notepad"": 0.1, ""mute_audio"": 0.1}","{""open_settings"": 1.0, ""open_notepad"": 0.0, ""mute_audio"": 0.0}",0.23484999999999998,1,0.0,0.882575
TASK_20251001_120402_5289,some unknown action,2025-10-01T12:04:02.942762,20251001_120402,0,intent_unknown_action,open_music_player,0.97,0.97,High,"{""open_music_player"": 0.8167735455, ""volume_up"": 0.05}","{""open_music_player"": 1.0, ""volume_up"": 0.0}",0.7667735455,1,0.0,0.61661322725
TASK_20251001_120442_2674,open notepad,2025-10-01T12:04:42.916459,20251001_120425,0,intent_open_notepad,check_battery_status,0.0,0.0,Low,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.4794}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.4294,0,-0.4794,0.7853
TASK_20251001_120514_1023,open notepad,2025-10-01T12:05:15.229991,20251001_120425,0,intent_open_notepad,open_notepad,0.85,0.85,High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.53146, ""check_battery_status"": 0.05}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0, ""check_battery_status"": 0.0}",0.48146000000000005,1,0.0,0.75927
TASK_20251001_120536_5015,open browser,2025-10-01T12:05:36.326850,20251001_120425,0,intent_open_browser,clear_browser_data,0.41,0.41,Medium,"{""clear_browser_data"": 0.095}","{""clear_browser_data"": 0.095}",0.0,0,0.0,1.0
TASK_20251001_120604_1074,open browser,2025-10-01T12:06:05.252709,20251001_120425,0,intent_open_browser,open_browser,0.73,0.73,Medium-High,"{""clear_browser_data"": 0.055499999999999994, ""open_browser"": 0.1}","{""clear_browser_data"": 0.0, ""open_browser"": 1.0}",0.04450000000000001,1,0.0,0.97775
TASK_20251001_120638_8359,open photo viewer,2025-10-01T12:06:39.176835,20251001_120425,0,intent_open_photo_viewer,toggle_audio,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20251001_120658_4792,open photo viewer,2025-10-01T12:06:58.355611,20251001_120425,0,intent_open_photo_viewer,check_privacy_settings,0.0,0.0,Low,"{""toggle_audio"": 0.05, ""open_photo_viewer"": 0.1}","{""toggle_audio"": 0.0, ""open_photo_viewer"": 1.0}",0.05,0,-0.1,0.975
